seas_id,season,player_id,player,pos,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,name,value,ht_ft,ht_in,wt,full_in_ht
30023,2022,4737,Jordan Poole,SG,GSW,55,1573,24,70,7,0,0,guard_percent,94,6,4,194,76
30024,2022,4964,Jordan Schakel,SG,WAS,2,14,9,91,0,0,0,guard_percent,100,6,6,200,78
30025,2022,4965,Jose Alvarado,PG,NOP,33,422,100,0,0,0,0,guard_percent,100,6,0,179,72
30026,2022,4966,Josh Christopher,SG,HOU,52,852,8,66,25,1,0,small_wing_percent,91,6,5,215,77
30027,2022,4967,Josh Giddey,SG,OKC,54,1700,5,58,36,2,0,small_wing_percent,94,6,8,210,80
30028,2022,4850,Josh Green,SG,DAL,46,658,1,52,46,0,0,small_wing_percent,98,6,5,200,77
30030,2022,4525,Josh Hart,SG,NOP,41,1374,10,63,27,0,0,small_wing_percent,90,6,5,215,77
30031,2022,4525,Josh Hart,SF,POR,5,168,0,55,43,1,0,small_wing_percent,98,6,5,215,77
30033,2022,4526,Josh Jackson,SF,DET,39,707,0,0,47,53,0,big_wing_percent,100,6,8,207,80
30034,2022,4526,Josh Jackson,SF,SAC,2,5,0,66,0,34,0,guard_percent,66,6,8,207,80
30034,2022,4526,Josh Jackson,SF,SAC,2,5,0,66,0,34,0,small_wing_percent,66,6,8,207,80
30035,2022,4644,Josh Okogie,SG,MIN,34,412,1,39,56,4,0,small_wing_percent,95,6,4,213,76
30037,2022,4336,Josh Richardson,SG,BOS,44,1087,1,82,16,0,0,small_wing_percent,98,6,5,200,77
30038,2022,4336,Josh Richardson,SG,SAS,3,47,3,55,42,0,0,small_wing_percent,97,6,5,200,77
30039,2022,4968,Joshua Primo,SG,SAS,32,502,2,35,61,3,0,small_wing_percent,96,6,6,190,78
30040,2022,3891,Jrue Holiday,PG,MIL,49,1616,97,3,0,0,0,guard_percent,100,6,3,205,75
30041,2022,4969,JT Thor,PF,CHO,22,222,0,3,16,42,39,big_percent,81,6,10,205,82
30043,2022,4419,Juan Hernangómez,PF,BOS,18,96,0,0,12,84,5,big_wing_percent,96,NA,NA,NA,NA
30044,2022,4419,Juan Hernangómez,PF,SAS,5,51,0,0,0,64,37,big_percent,101,NA,NA,NA,NA
30045,2022,4419,Juan Hernangómez,PF,UTA,2,5,0,0,0,100,0,big_wing_percent,100,NA,NA,NA,NA
30045,2022,4419,Juan Hernangómez,PF,UTA,2,5,0,0,0,100,0,big_percent,100,NA,NA,NA,NA
30046,2022,4739,Juan Toscano-Anderson,SF,GSW,58,830,0,5,64,29,2,big_wing_percent,93,6,6,209,78
30047,2022,4266,Julius Randle,PF,NYK,59,2107,0,0,1,91,8,big_percent,99,6,8,250,80
30049,2022,4337,Justin Anderson,SF,CLE,3,47,0,6,75,19,0,big_wing_percent,94,NA,NA,NA,NA
30050,2022,4337,Justin Anderson,SF,IND,3,30,0,10,90,0,0,small_wing_percent,100,NA,NA,NA,NA
30051,2022,4970,Justin Champagnie,SF,TOR,34,273,19,59,23,0,0,small_wing_percent,82,6,6,200,78
30053,2022,4102,Justin Holiday,SF,IND,49,1416,0,10,77,12,1,big_wing_percent,89,6,6,180,78
30054,2022,4102,Justin Holiday,SG,SAC,7,209,0,54,38,8,0,small_wing_percent,92,6,6,180,78
30056,2022,4528,Justin Jackson,SF,BOS,1,2,0,0,0,100,0,big_wing_percent,100,NA,NA,NA,NA
30056,2022,4528,Justin Jackson,SF,BOS,1,2,0,0,0,100,0,big_percent,100,NA,NA,NA,NA
30057,2022,4528,Justin Jackson,SF,PHO,6,35,0,46,24,30,0,small_wing_percent,70,NA,NA,NA,NA
30059,2022,4741,Justin Robinson,PG,MIL,17,198,100,0,0,0,0,guard_percent,100,NA,NA,NA,NA
30060,2022,4741,Justin Robinson,PG,SAC,3,15,100,0,0,0,0,guard_percent,100,NA,NA,NA,NA
30061,2022,4741,Justin Robinson,PG,DET,5,91,55,45,0,0,0,guard_percent,100,NA,NA,NA,NA
30063,2022,4338,Justise Winslow,SF,LAC,37,479,0,0,8,72,20,big_percent,92,6,6,222,78
30064,2022,4338,Justise Winslow,SF,POR,7,210,0,0,15,85,0,big_wing_percent,100,6,6,222,78
30065,2022,4267,Jusuf Nurkić,C,POR,56,1579,0,0,0,0,100,big_percent,100,6,11,290,83
30066,2022,4743,Juwan Morgan,PF,TOR,1,27,0,0,47,53,0,big_wing_percent,100,NA,NA,NA,NA
30067,2022,4971,Kai Jones,C,CHO,18,55,0,0,11,47,42,big_percent,89,6,11,218,83
30068,2022,4339,Karl-Anthony Towns,C,MIN,55,1878,0,0,0,0,100,big_percent,100,6,11,248,83
30069,2022,4972,Keifer Sykes,PG,IND,22,403,100,0,0,0,0,guard_percent,100,6,0,180,72
30070,2022,4646,Keita Bates-Diop,SF,SAS,48,790,0,0,18,79,4,big_wing_percent,97,6,8,229,80
30072,2022,4744,Kelan Martin,SF,IND,27,444,0,3,68,28,1,big_wing_percent,96,6,5,230,77
30073,2022,4744,Kelan Martin,SF,BOS,1,3,0,100,0,0,0,guard_percent,100,6,5,230,77
30073,2022,4744,Kelan Martin,SF,BOS,1,3,0,100,0,0,0,small_wing_percent,100,6,5,230,77
30074,2022,4745,Keldon Johnson,SF,SAS,57,1797,0,2,49,48,1,big_wing_percent,97,6,5,220,77
30075,2022,4853,Keljin Blevins,SF,POR,14,85,0,56,29,15,0,small_wing_percent,85,6,4,200,76
30076,2022,4177,Kelly Olynyk,C,DET,24,481,0,0,0,0,100,big_percent,100,6,11,240,83
30077,2022,4341,Kelly Oubre Jr.,SF,CHO,57,1625,1,37,56,7,0,small_wing_percent,93,6,7,203,79
30078,2022,4034,Kemba Walker,PG,NYK,37,948,100,0,0,0,0,guard_percent,100,6,0,184,72
30079,2022,4647,Kenrich Williams,SF,OKC,49,1072,0,3,62,34,1,big_wing_percent,96,6,6,210,78
30080,2022,4104,Kent Bazemore,SF,LAL,33,466,0,19,67,14,0,small_wing_percent,86,6,4,195,76
30081,2022,4178,Kentavious Caldwell-Pope,SG,WAS,57,1694,1,35,64,0,0,small_wing_percent,99,6,5,204,77
30082,2022,4854,Kenyon Martin Jr.,SF,HOU,57,1133,0,0,15,76,9,big_wing_percent,91,6,6,215,78
30084,2022,4973,Keon Johnson,SG,LAC,15,135,45,55,1,0,0,guard_percent,100,6,5,186,77
30085,2022,4973,Keon Johnson,SG,POR,2,43,0,72,28,0,0,small_wing_percent,100,6,5,186,77
30086,2022,4974,Kessler Edwards,SF,BRK,31,746,0,2,30,66,3,big_wing_percent,96,6,8,215,80
30087,2022,3770,Kevin Durant,PF,BRK,36,1313,0,0,1,60,39,big_percent,99,6,10,240,82
30088,2022,4648,Kevin Huerter,SG,ATL,53,1544,1,90,9,0,0,small_wing_percent,99,6,7,190,79
30090,2022,4649,Kevin Knox,SF,NYK,13,111,0,0,26,72,1,big_wing_percent,98,6,7,215,79
30091,2022,4649,Kevin Knox,SF,ATL,10,69,0,19,46,35,0,big_wing_percent,81,6,7,215,79
30092,2022,3830,Kevin Love,PF,CLE,53,1173,0,0,24,69,7,big_wing_percent,93,6,8,251,80
30093,2022,4975,Kevin Pangos,PG,CLE,24,166,93,7,0,0,0,guard_percent,100,NA,NA,NA,NA
30094,2022,4748,Kevin Porter Jr.,PG,HOU,40,1194,97,3,0,0,0,guard_percent,100,6,4,203,76
30095,2022,4342,Kevon Looney,C,GSW,61,1305,0,0,0,1,99,big_percent,100,6,9,222,81
30096,2022,4531,Khem Birch,C,TOR,34,619,0,0,0,0,100,big_percent,100,6,9,233,81
30097,2022,4107,Khris Middleton,SF,MIL,50,1604,0,11,52,34,2,big_wing_percent,86,6,7,222,79
30098,2022,4855,Killian Hayes,PG,DET,49,1197,67,32,1,0,0,guard_percent,99,6,5,195,77
30099,2022,4856,Killian Tillie,C,MEM,33,442,0,0,0,29,71,big_percent,100,6,9,220,81
30100,2022,4857,Kira Lewis Jr.,PG,NOP,24,341,92,8,0,0,0,guard_percent,100,6,1,170,73
30101,2022,4036,Klay Thompson,SG,GSW,17,429,0,46,49,5,0,small_wing_percent,95,6,6,215,78
30102,2022,4343,Kristaps Porziņģis,PF,DAL,34,1002,0,0,0,39,61,big_percent,100,7,3,240,87
30103,2022,4271,Kyle Anderson,PF,MEM,50,1088,0,0,10,62,27,big_percent,89,6,9,230,81
30104,2022,4751,Kyle Guy,SG,MIA,16,178,53,48,0,0,0,guard_percent,101,6,1,167,73
30105,2022,4534,Kyle Kuzma,PF,WAS,57,1910,0,0,3,85,12,big_percent,97,6,9,221,81
30106,2022,3685,Kyle Lowry,PG,MIA,48,1647,100,0,0,0,0,guard_percent,100,6,0,196,72
30107,2022,4037,Kyrie Irving,PG,BRK,15,546,32,68,0,0,0,guard_percent,100,6,2,195,74
30108,2022,4752,KZ Okpala,PF,MIA,21,244,0,0,1,56,43,big_percent,99,NA,NA,NA,NA
30109,2022,4858,Lamar Stevens,PF,CLE,43,598,0,33,55,12,0,small_wing_percent,88,6,6,230,78
30110,2022,3686,LaMarcus Aldridge,C,BRK,42,950,0,0,0,0,100,big_percent,100,6,11,250,83
30111,2022,4859,LaMelo Ball,PG,CHO,56,1831,97,3,0,0,0,guard_percent,100,6,7,180,79
30113,2022,3954,Lance Stephenson,SF,ATL,6,70,0,28,48,24,0,small_wing_percent,76,6,6,230,78
30114,2022,3954,Lance Stephenson,SG,IND,25,501,11,36,38,15,0,small_wing_percent,74,6,6,230,78
30115,2022,4652,Landry Shamet,SG,PHO,48,939,2,80,18,0,0,small_wing_percent,98,6,4,190,76
30117,2022,4272,Langston Galloway,SG,BRK,4,58,4,57,38,0,0,small_wing_percent,95,NA,NA,NA,NA
30118,2022,4272,Langston Galloway,SG,MIL,3,49,100,0,0,0,0,guard_percent,100,NA,NA,NA,NA
30119,2022,4345,Larry Nance Jr.,PF,POR,37,858,0,0,0,48,52,big_percent,100,6,7,245,79
30120,2022,4535,Lauri Markkanen,PF,CLE,41,1245,0,0,0,74,26,big_percent,100,7,0,240,84
30121,2022,4976,Leandro Bolmaro,SF,MIN,25,188,0,28,53,19,0,small_wing_percent,81,6,6,200,78
30122,2022,3463,LeBron James,SF,LAL,43,1580,0,0,31,63,7,big_wing_percent,94,6,9,250,81
30123,2022,4977,Lindell Wigginton,PG,MIL,12,115,92,9,0,0,0,guard_percent,101,6,2,189,74
30124,2022,4978,Lindy Waters III,SG,OKC,6,55,0,65,28,7,0,small_wing_percent,93,6,6,215,78
30125,2022,4653,Lonnie Walker,SG,SAS,57,1314,3,58,38,1,0,small_wing_percent,96,6,4,204,76
30126,2022,4537,Lonzo Ball,PG,CHI,35,1212,82,18,0,0,0,guard_percent,100,6,6,190,78
30127,2022,3619,Lou Williams,PG,ATL,41,598,82,18,0,0,0,guard_percent,100,6,1,175,73
30128,2022,4753,Louis King,SF,SAC,10,104,0,8,56,35,1,big_wing_percent,91,NA,NA,NA,NA
30129,2022,4754,Luguentz Dort,SF,OKC,51,1665,1,16,65,19,0,big_wing_percent,84,6,3,215,75
30130,2022,4654,Luka Dončić,PG,DAL,46,1631,33,63,4,0,0,guard_percent,96,6,7,230,79
30131,2022,4979,Luka Garza,C,DET,29,340,0,0,0,1,99,big_percent,100,6,11,235,83
30132,2022,4538,Luke Kennard,SG,LAC,52,1446,11,83,6,0,0,guard_percent,94,6,5,206,77
30134,2022,4539,Luke Kornet,C,CLE,2,15,0,0,0,13,87,big_percent,100,7,2,250,86
30135,2022,4539,Luke Kornet,C,MIL,1,3,0,0,0,0,100,big_percent,100,7,2,250,86
30136,2022,4539,Luke Kornet,C,BOS,3,16,0,0,0,0,100,big_percent,100,7,2,250,86
30137,2022,4980,M.J. Walker,SG,PHO,2,8,0,65,35,0,0,small_wing_percent,100,NA,NA,NA,NA
30138,2022,4981,Mac McClung,PG,CHI,1,3,0,100,0,0,0,guard_percent,100,NA,NA,NA,NA
30138,2022,4981,Mac McClung,PG,CHI,1,3,0,100,0,0,0,small_wing_percent,100,NA,NA,NA,NA
30139,2022,4860,Malachi Flynn,PG,TOR,37,370,99,1,0,0,0,guard_percent,100,6,1,175,73
30140,2022,4424,Malcolm Brogdon,PG,IND,30,994,71,28,0,0,0,guard_percent,99,6,5,229,77
30142,2022,4982,Malcolm Hill,SG,ATL,3,46,0,24,65,11,0,small_wing_percent,89,6,6,220,78
30143,2022,4982,Malcolm Hill,SF,CHI,14,151,0,3,62,35,0,big_wing_percent,97,6,6,220,78
30144,2022,4426,Malik Beasley,SG,MIN,61,1531,18,73,9,0,0,guard_percent,91,6,4,187,76
30146,2022,4861,Malik Fitts,PF,UTA,7,35,0,0,0,67,33,big_percent,100,6,8,230,80
30147,2022,4861,Malik Fitts,PF,BOS,1,3,0,0,0,100,0,big_wing_percent,100,6,8,230,80
30147,2022,4861,Malik Fitts,PF,BOS,1,3,0,0,0,100,0,big_percent,100,6,8,230,80
30148,2022,4541,Malik Monk,SG,LAL,54,1457,21,51,28,0,0,small_wing_percent,79,6,3,200,75
30149,2022,4756,Malik Newman,PG,CLE,1,8,100,0,0,0,0,guard_percent,100,NA,NA,NA,NA
30150,2022,4862,Mamadi Diakite,PF,OKC,13,188,0,0,0,10,90,big_percent,100,NA,NA,NA,NA
30151,2022,4983,Marcus Garrett,SG,MIA,12,128,2,62,36,1,0,small_wing_percent,98,NA,NA,NA,NA
30152,2022,4042,Marcus Morris,PF,LAC,38,1139,0,0,35,57,8,big_wing_percent,92,6,8,218,80
30153,2022,4275,Marcus Smart,PG,BOS,53,1731,100,0,0,0,0,guard_percent,100,6,3,220,75
30154,2022,4544,Markelle Fultz,PG,ORL,1,16,100,0,0,0,0,guard_percent,100,6,3,209,75
30155,2022,4043,Markieff Morris,PF,MIA,10,187,0,0,0,86,14,big_percent,100,6,9,245,81
30156,2022,4984,Marko Simonovic,C,CHI,9,35,0,0,0,8,92,big_percent,100,6,11,216,83
30157,2022,4863,Markus Howard,SG,DEN,24,140,3,66,31,0,0,small_wing_percent,97,5,10,175,70
30158,2022,4428,Marquese Chriss,PF,DAL,23,256,0,0,0,21,79,big_percent,100,6,9,240,81
30160,2022,4656,Marvin Bagley III,PF,SAC,30,656,0,0,0,78,22,big_percent,100,6,11,235,83
30161,2022,4656,Marvin Bagley III,PF,DET,4,90,0,0,0,80,20,big_percent,100,6,11,235,83
30162,2022,4864,Mason Jones,SG,LAL,2,9,0,100,0,0,0,guard_percent,100,6,4,200,76
30162,2022,4864,Mason Jones,SG,LAL,2,9,0,100,0,0,0,small_wing_percent,100,6,4,200,76
30163,2022,4180,Mason Plumlee,C,CHO,54,1363,0,0,0,0,100,big_percent,100,6,11,254,83
30164,2022,4760,Matisse Thybulle,SG,PHI,45,1185,3,49,47,2,0,small_wing_percent,96,6,5,201,77
30165,2022,4761,Matt Mooney,SG,NYK,1,2,100,0,0,0,0,guard_percent,100,NA,NA,NA,NA
30166,2022,4762,Matt Thomas,SG,CHI,37,451,47,50,3,0,0,guard_percent,97,6,4,190,76
30167,2022,4115,Maurice Harkless,SF,SAC,43,842,0,2,74,24,0,big_wing_percent,98,6,7,220,79
30168,2022,4763,Max Strus,SF,MIA,49,1149,0,14,49,37,0,big_wing_percent,86,6,5,215,77
30169,2022,4547,Maxi Kleber,PF,DAL,44,1104,0,0,0,64,36,big_percent,100,6,10,240,82
30170,2022,4985,McKinley Wright IV,PG,MIN,3,9,86,14,0,0,0,guard_percent,100,6,0,196,72
30171,2022,4986,Micah Potter,C,DET,3,31,0,0,0,0,100,big_percent,100,NA,NA,NA,NA
30172,2022,4766,Michael Porter Jr.,SF,DEN,9,265,0,0,91,9,0,big_wing_percent,100,6,10,218,82
30173,2022,4658,Mikal Bridges,SF,PHO,61,2127,0,8,88,3,0,small_wing_percent,96,6,6,209,78
30174,2022,3779,Mike Conley,PG,UTA,54,1528,100,0,0,0,0,guard_percent,100,6,1,175,73
30175,2022,4183,Mike Muscala,C,OKC,43,592,0,0,0,0,100,big_percent,100,6,10,240,82
30176,2022,4659,Miles Bridges,PF,CHO,61,2206,0,0,13,74,13,big_wing_percent,87,6,6,225,78
30176,2022,4659,Miles Bridges,PF,CHO,61,2206,0,0,13,74,13,big_percent,87,6,6,225,78
30177,2022,4987,Miles McBride,PG,NYK,22,153,95,5,0,0,0,guard_percent,100,6,2,200,74
30178,2022,4661,Mitchell Robinson,C,NYK,55,1394,0,0,0,0,100,big_percent,100,7,0,240,84
30179,2022,4767,Miye Oni,SG,UTA,16,44,0,10,84,6,0,small_wing_percent,94,NA,NA,NA,NA
30180,2022,4662,Mo Bamba,C,ORL,51,1328,0,0,0,2,98,big_percent,100,7,0,231,84
30181,2022,4551,Monte Morris,PG,DEN,55,1646,88,12,0,0,0,guard_percent,100,6,2,183,74
30183,2022,4349,Montrezl Harrell,C,WAS,46,1117,0,0,0,0,100,big_percent,100,6,7,240,79
30184,2022,4349,Montrezl Harrell,C,CHO,7,200,0,0,0,18,82,big_percent,100,6,7,240,79
30185,2022,4663,Moritz Wagner,C,ORL,45,564,0,0,0,24,76,big_percent,100,6,11,245,83
30186,2022,4768,Moses Brown,C,DAL,26,169,0,0,0,2,98,big_percent,100,NA,NA,NA,NA
30187,2022,4988,Moses Moody,SG,GSW,36,359,0,36,55,8,0,small_wing_percent,91,6,6,205,78
30188,2022,4989,Moses Wright,PF,LAC,1,1,0,0,0,0,100,big_percent,100,6,9,233,81
30189,2022,4769,Mychal Mulder,PG,ORL,15,195,84,16,0,0,0,guard_percent,100,NA,NA,NA,NA
30190,2022,4990,Myles Powell,PG,PHI,11,52,100,0,0,0,0,guard_percent,100,6,2,195,74
30191,2022,4350,Myles Turner,C,IND,42,1235,0,0,0,0,100,big_percent,100,6,11,250,83
30192,2022,4865,Naji Marshall,SF,NOP,34,340,0,12,54,33,1,big_wing_percent,87,6,7,220,79
30193,2022,4770,Nassir Little,SF,POR,42,1088,0,0,64,35,0,big_wing_percent,99,6,5,220,77
30194,2022,4867,Nate Hinton,SG,IND,2,2,0,100,0,0,0,guard_percent,100,NA,NA,NA,NA
30194,2022,4867,Nate Hinton,SG,IND,2,2,0,100,0,0,0,small_wing_percent,100,NA,NA,NA,NA
30195,2022,4868,Nathan Knight,PF,MIN,28,194,0,0,0,28,72,big_percent,100,6,10,253,82
30196,2022,4771,Naz Reid,C,MIN,59,938,0,0,0,9,91,big_percent,100,6,9,264,81
30197,2022,4991,Neemias Queta,C,SAC,10,56,0,0,0,0,100,big_percent,100,7,0,245,84
30198,2022,4351,Nemanja Bjelica,C,GSW,55,838,0,0,0,0,100,big_percent,100,6,10,234,82
30199,2022,4278,Nerlens Noel,C,NYK,25,562,0,0,0,0,100,big_percent,100,6,11,220,83
30200,2022,4869,Nick Richards,C,CHO,41,344,0,0,0,0,100,big_percent,100,7,0,245,84
30202,2022,4772,Nickeil Alexander-Walker,SG,NOP,50,1317,4,40,42,15,0,small_wing_percent,82,6,6,205,78
30203,2022,4772,Nickeil Alexander-Walker,SG,UTA,2,5,0,59,41,0,0,small_wing_percent,100,6,6,205,78
30204,2022,3841,Nicolas Batum,PF,LAC,42,1032,0,0,0,86,14,big_percent,100,6,8,230,80
30205,2022,4773,Nicolas Claxton,C,BRK,27,553,0,0,0,4,96,big_percent,100,NA,NA,NA,NA
30206,2022,4280,Nik Stauskas,SG,MIA,2,24,0,9,91,0,0,small_wing_percent,100,6,6,205,78
30207,2022,4352,Nikola Jokić,C,DEN,55,1813,0,0,0,0,100,big_percent,100,6,11,284,83
30208,2022,4047,Nikola Vučević,C,CHI,55,1855,0,0,0,0,100,big_percent,100,6,10,260,82
30210,2022,4353,Norman Powell,SF,POR,40,1333,0,18,75,7,0,small_wing_percent,93,6,3,215,75
30211,2022,4353,Norman Powell,SG,LAC,3,80,33,67,0,0,0,guard_percent,100,6,3,215,75
30212,2022,4776,Norvel Pelle,C,UTA,3,19,0,0,0,5,95,big_percent,100,NA,NA,NA,NA
