PLAYER1_NAME,clutch_fts_attempted,clutch_fts_missed,clutch_ft_percent,non_clutch_fts_attempted,non_clutch_fts_missed,non_clutch_ft_percent,differential
Aaron Gordon,21,4,0.8095238095238095,248,88,0.6451612903225806,0.1643625192012289
Aaron Nesmith,16,3,0.8125,121,27,0.7768595041322314,0.03564049586776863
Alex Caruso,13,3,0.7692307692307692,83,20,0.7590361445783133,0.010194624652455908
Alperen Sengun,46,16,0.6521739130434783,306,92,0.6993464052287581,-0.04717249218527986
Anfernee Simons,24,1,0.9583333333333334,154,14,0.9090909090909091,0.04924242424242431
Anthony Davis,40,6,0.85,476,89,0.8130252100840336,0.036974789915966366
Anthony Edwards,27,8,0.7037037037037037,479,75,0.8434237995824635,-0.13972009587875978
Austin Reaves,29,4,0.8620689655172413,243,36,0.8518518518518519,0.010217113665389466
Bam Adebayo,19,3,0.8421052631578947,368,92,0.75,0.09210526315789469
Brandon Ingram,14,2,0.8571428571428572,293,59,0.7986348122866894,0.058508044856167785
Brook Lopez,13,3,0.7692307692307692,121,21,0.8264462809917356,-0.0572155117609664
Cade Cunningham,21,0,1,253,36,0.8577075098814229,0.14229249011857714
Cam Thomas,25,2,0.92,309,46,0.8511326860841424,0.06886731391585765
Caris LeVert,12,2,0.8333333333333334,189,45,0.7619047619047619,0.07142857142857151
Chet Holmgren,20,6,0.7,255,51,0.8,-0.10000000000000009
Coby White,28,4,0.8571428571428572,232,38,0.8362068965517242,0.020935960591133007
Collin Sexton,17,1,0.9411764705882353,353,51,0.8555240793201133,0.08565239126812196
D'Angelo Russell,18,0,1,174,33,0.8103448275862069,0.18965517241379315
Damian Lillard,50,3,0.94,464,38,0.9181034482758621,0.021896551724137847
Darius Garland,20,3,0.85,155,26,0.832258064516129,0.01774193548387093
De'Aaron Fox,31,10,0.6774193548387097,392,101,0.7423469387755102,-0.06492758393680043
DeMar DeRozan,83,10,0.8795180722891567,529,80,0.8487712665406427,0.03074680574851396
Dejounte Murray,25,10,0.6,237,44,0.8143459915611815,-0.2143459915611815
Dennis Schroder,25,2,0.92,188,33,0.824468085106383,0.09553191489361701
Derrick White,11,0,1,141,15,0.8936170212765957,0.1063829787234043
Devin Booker,28,3,0.8928571428571429,429,49,0.8857808857808858,0.007076257076257142
Devin Vassell,21,7,0.6666666666666667,180,33,0.8166666666666667,-0.1499999999999999
Domantas Sabonis,19,5,0.736842105263158,396,118,0.702020202020202,0.034821903242955976
Donovan Mitchell,26,3,0.8846153846153846,292,40,0.863013698630137,0.021601685985247587
Evan Mobley,11,6,0.4545454545454546,160,42,0.7375,-0.28295454545454546
Franz Wagner,17,2,0.8823529411764706,302,46,0.847682119205298,0.03467082197117255
Fred VanVleet,19,3,0.8421052631578947,210,29,0.861904761904762,-0.01979949874686726
Giannis Antetokounmpo,50,14,0.72,732,254,0.6530054644808743,0.06699453551912571
Grant Williams,11,2,0.8181818181818181,129,32,0.751937984496124,0.06624383368569409
Harrison Barnes,15,3,0.8,181,36,0.8011049723756907,-0.0011049723756906271
Herbert Jones,12,2,0.8333333333333334,146,19,0.8698630136986302,-0.0365296803652968
Immanuel Quickley,32,7,0.78125,213,29,0.863849765258216,-0.082599765258216
Jabari Smith Jr.,12,7,0.41666666666666663,173,28,0.838150289017341,-0.4214836223506744
Jabari Walker,12,3,0.75,159,39,0.7547169811320755,-0.004716981132075526
Jaden Ivey,12,3,0.75,291,73,0.7491408934707904,8.591065292096189e-4
Jalen Brunson,32,9,0.71875,465,67,0.8559139784946237,-0.1371639784946237
Jalen Duren,10,2,0.8,171,36,0.7894736842105263,0.010526315789473717
Jalen Green,19,6,0.6842105263157895,333,63,0.8108108108108107,-0.12660028449502125
Jalen Johnson,10,2,0.8,137,38,0.7226277372262774,0.07737226277372267
Jalen Suggs,11,2,0.8181818181818181,145,36,0.7517241379310344,0.06645768025078369
Jalen Williams,19,4,0.7894736842105263,202,37,0.8168316831683169,-0.027357998957790564
Jamal Murray,17,3,0.8235294117647058,167,24,0.8562874251497006,-0.03275801338499473
Jaren Jackson Jr.,25,2,0.92,392,78,0.8010204081632653,0.11897959183673479
Jarrett Allen,20,6,0.7,294,75,0.7448979591836735,-0.044897959183673564
Jaylen Brown,20,6,0.7,280,83,0.7035714285714285,-0.0035714285714285587
Jayson Tatum,35,7,0.8,462,76,0.8354978354978355,-0.03549783549783547
Jerami Grant,17,4,0.7647058823529411,295,53,0.8203389830508474,-0.05563310069790628
Jeremy Sochan,15,4,0.7333333333333334,129,29,0.7751937984496124,-0.041860465116279055
Jimmy Butler,33,8,0.7575757575757576,426,57,0.8661971830985915,-0.10862142552283394
Joel Embiid,26,1,0.9615384615384616,426,52,0.8779342723004695,0.08360418923799207
John Collins,11,2,0.8181818181818181,174,36,0.7931034482758621,0.02507836990595602
Jordan Clarkson,15,2,0.8666666666666667,186,22,0.8817204301075269,-0.01505376344086018
Jordan Poole,12,1,0.9166666666666666,207,26,0.8743961352657005,0.04227053140096615
Josh Hart,11,4,0.6363636363636364,104,20,0.8076923076923077,-0.17132867132867136
Jrue Holiday,20,5,0.75,52,7,0.8653846153846154,-0.11538461538461542
Julius Randle,15,6,0.6,287,60,0.7909407665505226,-0.1909407665505226
Jusuf Nurkic,13,4,0.6923076923076923,248,90,0.6370967741935484,0.055210918114143914
Karl-Anthony Towns,17,2,0.8823529411764706,275,35,0.8727272727272728,0.009625668449197766
Kawhi Leonard,26,2,0.9230769230769231,260,31,0.8807692307692307,0.04230769230769238
Keegan Murray,10,3,0.7,114,18,0.8421052631578947,-0.14210526315789473
Keldon Johnson,15,3,0.8,206,43,0.7912621359223301,0.008737864077669966
Kelly Oubre Jr.,14,5,0.6428571428571428,218,53,0.7568807339449541,-0.11402359108781135
Kevin Durant,38,5,0.868421052631579,385,56,0.8545454545454545,0.013875598086124485
Keyonte George,12,4,0.6666666666666667,211,30,0.8578199052132701,-0.19115323854660338
Klay Thompson,11,0,1,126,10,0.9206349206349207,0.0793650793650793
Kristaps Porzingis,20,0,1,282,43,0.8475177304964538,0.15248226950354615
Kyrie Irving,20,1,0.95,190,19,0.9,0.04999999999999993
Lauri Markkanen,20,3,0.85,257,25,0.9027237354085603,-0.052723735408560346
LeBron James,24,7,0.7083333333333333,380,94,0.7526315789473684,-0.04429824561403517
Luguentz Dort,10,3,0.7,145,24,0.8344827586206897,-0.1344827586206897
Luka Doncic,20,6,0.7,588,124,0.7891156462585034,-0.08911564625850343
Malcolm Brogdon,10,2,0.8,106,19,0.8207547169811321,-0.02075471698113207
Malik Monk,39,9,0.7692307692307692,166,26,0.8433734939759037,-0.0741427247451345
Mark Williams,10,3,0.7,54,15,0.7222222222222222,-0.022222222222222254
Max Strus,11,3,0.7272727272727273,86,17,0.8023255813953488,-0.07505285412262153
Mikal Bridges,37,10,0.7297297297297297,280,49,0.825,-0.09527027027027024
Miles Bridges,13,2,0.8461538461538461,198,35,0.8232323232323232,0.02292152292152294
Mitchell Robinson,14,7,0.5,52,32,0.3846153846153846,0.11538461538461542
Nikola Jokic,41,8,0.8048780487804879,397,72,0.818639798488665,-0.013761749708177118
Nikola Vucevic,11,2,0.8181818181818181,118,21,0.8220338983050848,-0.0038520801232666546
Norman Powell,12,2,0.8333333333333334,160,27,0.83125,0.002083333333333326
Paolo Banchero,37,11,0.7027027027027026,522,143,0.7260536398467433,-0.023350937144040684
Pascal Siakam,17,7,0.5882352941176471,379,99,0.7387862796833773,-0.1505509855657302
Paul George,32,2,0.9375,259,25,0.9034749034749034,0.034025096525096554
RJ Barrett,12,2,0.8333333333333334,279,81,0.7096774193548387,0.12365591397849462
Reggie Jackson,13,7,0.46153846153846156,85,12,0.8588235294117648,-0.3972850678733032
Rudy Gobert,38,15,0.6052631578947368,352,126,0.6420454545454546,-0.03678229665071775
Saddiq Bey,12,2,0.8333333333333334,191,31,0.837696335078534,-0.004363001745200656
Scottie Barnes,26,7,0.7307692307692308,225,48,0.7866666666666666,-0.05589743589743579
Shaedon Sharpe,15,3,0.8,104,18,0.8269230769230769,-0.026923076923076827
Shai Gilgeous-Alexander,38,4,0.8947368421052632,611,78,0.8723404255319149,0.022396416573348232
Spencer Dinwiddie,12,3,0.75,198,38,0.8080808080808081,-0.058080808080808066
Stephen Curry,33,2,0.9393939393939394,291,23,0.9209621993127148,0.018431740081224612
Terry Rozier,28,2,0.9285714285714286,170,24,0.8588235294117648,0.06974789915966384
Trae Young,59,9,0.847457627118644,348,50,0.8563218390804598,-0.008864211961815749
Tre Jones,17,0,1,101,17,0.8316831683168316,0.16831683168316836
Tyler Herro,11,2,0.8181818181818181,100,14,0.86,-0.041818181818181865
Tyrese Haliburton,19,1,0.9473684210526316,208,32,0.8461538461538461,0.10121457489878549
Tyrese Maxey,33,4,0.8787878787878788,345,46,0.8666666666666667,0.012121212121212088
Victor Wembanyama,40,9,0.775,327,66,0.7981651376146789,-0.023165137614678866
Wendell Carter Jr.,10,3,0.7,124,38,0.6935483870967742,0.006451612903225712
Zach Collins,13,6,0.5384615384615384,149,34,0.7718120805369127,-0.2333505420753743
Zion Williamson,14,7,0.5,480,140,0.7083333333333333,-0.20833333333333326
