PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FGA_percentile,FGA_FREQ_percentile,EFG_percentile,sum_percentiles
203999,Nikola Jokic,1610612743,DEN,29.0,76,67,0.131,78,179,0.436,0.475,1.0,0.8721804511278195,0.7142857142857143,2.5864661654135337
1628973,Jalen Brunson,1610612752,NYK,27.0,76,65,0.096,64,154,0.416,0.461,0.9981167608286252,0.5676691729323309,0.650375939849624,2.21616187361058
1628369,Jayson Tatum,1610612738,BOS,26.0,73,61,0.099,51,138,0.37,0.431,0.9943502824858758,0.6090225563909775,0.49624060150375937,2.0996134403806126
1630162,Anthony Edwards,1610612750,MIN,22.0,78,59,0.089,51,138,0.37,0.417,0.9943502824858758,0.462406015037594,0.42105263157894735,1.8778089291024171
1628368,De'Aaron Fox,1610612758,SAC,26.0,73,67,0.089,50,136,0.368,0.43,0.9905838041431262,0.462406015037594,0.4924812030075188,1.945471022188239
1631094,Paolo Banchero,1610612753,ORL,21.0,79,57,0.098,46,136,0.338,0.368,0.9905838041431262,0.6052631578947368,0.22556390977443608,1.821410871812299
202695,Kawhi Leonard,1610612746,LAC,32.0,67,58,0.116,59,132,0.447,0.519,0.9868173258003766,0.8045112781954887,0.8721804511278195,2.6635090551236846
1628404,Josh Hart,1610612752,NYK,29.0,80,62,0.197,44,132,0.333,0.383,0.9868173258003766,1.0,0.2932330827067669,2.280050408507144
201942,DeMar DeRozan,1610612741,CHI,34.0,77,60,0.099,44,129,0.341,0.388,0.9849340866290018,0.6090225563909775,0.3157894736842105,1.90974611670419
1630178,Tyrese Maxey,1610612755,PHI,23.0,69,57,0.088,39,123,0.317,0.358,0.9830508474576272,0.4548872180451128,0.19548872180451127,1.6334267873072514
1630560,Cam Thomas,1610612751,BKN,22.0,63,56,0.108,38,122,0.311,0.365,0.9811676082862524,0.7218045112781954,0.20676691729323307,1.909739036857681
1627832,Fred VanVleet,1610612745,HOU,30.0,73,55,0.118,32,120,0.267,0.329,0.9792843691148776,0.8195488721804511,0.10150375939849623,1.900337000693825
1630532,Franz Wagner,1610612753,ORL,22.0,71,55,0.11,51,118,0.432,0.496,0.975517890772128,0.7518796992481203,0.7819548872180451,2.509352477238293
1629012,Collin Sexton,1610612762,UTA,25.0,77,60,0.116,48,118,0.407,0.453,0.975517890772128,0.8045112781954887,0.5977443609022557,2.3777735298698723
201142,Kevin Durant,1610612756,PHX,35.0,73,47,0.083,51,116,0.44,0.478,0.967984934086629,0.37593984962406013,0.7255639097744361,2.069488693485125
1628970,Miles Bridges,1610612766,CHA,26.0,68,57,0.097,42,116,0.362,0.44,0.967984934086629,0.5864661654135338,0.5488721804511278,2.1033232799512906
1629632,Coby White,1610612741,CHI,24.0,77,57,0.099,39,116,0.336,0.431,0.967984934086629,0.6090225563909775,0.49624060150375937,2.073248091981366
1628398,Kyle Kuzma,1610612764,WAS,28.0,70,52,0.089,36,116,0.31,0.379,0.967984934086629,0.462406015037594,0.2744360902255639,1.7048270393497869
202331,Paul George,1610612746,LAC,33.0,73,60,0.093,47,113,0.416,0.522,0.9642184557438794,0.5225563909774437,0.8834586466165414,2.3702334933378646
1630224,Jalen Green,1610612745,HOU,22.0,81,58,0.086,38,113,0.336,0.42,0.9642184557438794,0.41353383458646614,0.4323308270676692,1.8100831173980148
202710,Jimmy Butler,1610612748,MIA,34.0,59,50,0.143,44,112,0.393,0.442,0.9585687382297552,0.9172932330827067,0.5639097744360902,2.439771745748552
203954,Joel Embiid,1610612755,PHI,30.0,39,38,0.132,35,112,0.313,0.335,0.9585687382297552,0.8796992481203008,0.11278195488721804,1.951049941237274
1626164,Devin Booker,1610612756,PHX,27.0,66,46,0.089,31,112,0.277,0.308,0.9585687382297552,0.462406015037594,0.06766917293233082,1.48864392619968
1629029,Luka Doncic,1610612742,DAL,25.0,69,54,0.068,44,111,0.396,0.486,0.9566854990583804,0.18796992481203006,0.7481203007518797,1.8927757246222903
2544,LeBron James,1610612747,LAL,39.0,69,52,0.091,44,110,0.4,0.432,0.9529190207156308,0.49624060150375937,0.5037593984962406,1.9529190207156306
203471,Dennis Schroder,1610612751,BKN,30.0,79,54,0.12,33,110,0.3,0.355,0.9529190207156308,0.8308270676691729,0.17293233082706766,1.9566784192118714
203944,Julius Randle,1610612752,NYK,29.0,46,40,0.131,43,108,0.398,0.449,0.9491525423728814,0.8721804511278195,0.575187969924812,2.396520963425513
1628378,Donovan Mitchell,1610612739,CLE,27.0,55,50,0.099,40,108,0.37,0.444,0.9491525423728814,0.6090225563909775,0.5676691729323309,2.12584427169619
1629636,Darius Garland,1610612739,CLE,24.0,57,47,0.127,44,107,0.411,0.509,0.9472693032015066,0.8533834586466166,0.8195488721804511,2.6202016340285743
1628389,Bam Adebayo,1610612748,MIA,26.0,69,53,0.107,37,106,0.349,0.358,0.943502824858757,0.706766917293233,0.19548872180451127,1.8457584639565012
1630175,Cole Anthony,1610612753,ORL,23.0,80,59,0.141,36,106,0.34,0.387,0.943502824858757,0.9097744360902256,0.31203007518796994,2.165307336136953
1628991,Jaren Jackson Jr.,1610612763,MEM,24.0,66,53,0.09,38,105,0.362,0.395,0.9397363465160076,0.4849624060150376,0.34210526315789475,1.76680401568894
1627747,Caris LeVert,1610612739,CLE,29.0,68,56,0.128,37,105,0.352,0.429,0.9397363465160076,0.8609022556390977,0.48120300751879697,2.2818416096739025
1627742,Brandon Ingram,1610612740,NOP,26.0,62,49,0.105,41,104,0.394,0.438,0.9378531073446328,0.6766917293233082,0.5300751879699248,2.1446200246378657
1627750,Jamal Murray,1610612743,DEN,27.0,56,44,0.111,40,103,0.388,0.466,0.935969868173258,0.7631578947368421,0.6766917293233082,2.3758194922334086
202704,Reggie Jackson,1610612743,DEN,33.0,79,56,0.14,34,102,0.333,0.382,0.9340866290018832,0.9060150375939849,0.2894736842105263,2.1295753508063946
1628969,Mikal Bridges,1610612751,BKN,27.0,79,59,0.081,36,101,0.356,0.421,0.9322033898305084,0.3383458646616541,0.44360902255639095,1.7141582770485535
202699,Tobias Harris,1610612755,PHI,31.0,69,45,0.106,47,99,0.475,0.54,0.928436911487759,0.6879699248120301,0.9060150375939849,2.522421873893774
1630559,Austin Reaves,1610612747,LAL,25.0,80,53,0.109,26,99,0.263,0.308,0.928436911487759,0.7368421052631579,0.06766917293233082,1.7329481896832477
1628978,Donte DiVincenzo,1610612752,NYK,27.0,80,55,0.1,34,98,0.347,0.449,0.9265536723163842,0.6390977443609023,0.575187969924812,2.1408393866020985
1641764,Brandin Podziemski,1610612744,GSW,21.0,72,51,0.169,35,97,0.361,0.397,0.9246704331450094,0.9699248120300752,0.3533834586466165,2.247978703821701
1630578,Alperen Sengun,1610612745,HOU,21.0,63,49,0.094,47,92,0.511,0.538,0.9190207156308852,0.5375939849624061,0.9022556390977443,2.3588703396910358
1627759,Jaylen Brown,1610612738,BOS,27.0,69,48,0.074,36,92,0.391,0.44,0.9190207156308852,0.2631578947368421,0.5488721804511278,1.731050790818855
1629027,Trae Young,1610612737,ATL,25.0,53,45,0.093,32,92,0.348,0.424,0.9190207156308852,0.5225563909774437,0.4548872180451128,1.8964643246534418
1629014,Anfernee Simons,1610612757,POR,24.0,45,38,0.111,32,91,0.352,0.396,0.9152542372881356,0.7631578947368421,0.3458646616541353,2.024276793679113
1627783,Pascal Siakam,1610612754,IND,30.0,79,53,0.073,30,91,0.33,0.368,0.9152542372881356,0.2518796992481203,0.22556390977443608,1.3926978463106918
203468,CJ McCollum,1610612740,NOP,32.0,64,46,0.088,43,90,0.478,0.583,0.9077212806026366,0.4548872180451128,0.9473684210526315,2.309976919700381
1630567,Scottie Barnes,1610612761,TOR,22.0,60,44,0.096,37,90,0.411,0.472,0.9077212806026366,0.5676691729323309,0.706766917293233,2.1821573708282003
201935,James Harden,1610612746,LAC,34.0,71,48,0.111,30,90,0.333,0.456,0.9077212806026366,0.7631578947368421,0.6240601503759399,2.2949393257154185
1628370,Malik Monk,1610612758,SAC,26.0,72,52,0.101,28,90,0.311,0.406,0.9077212806026366,0.6466165413533834,0.38345864661654133,1.9377964685725613
203507,Giannis Antetokounmpo,1610612749,MIL,29.0,73,51,0.065,41,89,0.461,0.472,0.903954802259887,0.15037593984962405,0.706766917293233,1.7610976594027439
203903,Jordan Clarkson,1610612762,UTA,31.0,54,45,0.112,19,89,0.213,0.247,0.903954802259887,0.7781954887218046,0.018796992481203006,1.7009472834628947
1628983,Shai Gilgeous-Alexander,1610612760,OKC,25.0,74,49,0.059,38,87,0.437,0.454,0.8983050847457628,0.09022556390977443,0.6127819548872181,1.6013126035427554
1630595,Cade Cunningham,1610612765,DET,22.0,61,48,0.076,34,87,0.391,0.466,0.8983050847457628,0.2819548872180451,0.6766917293233082,1.856951701287116
203081,Damian Lillard,1610612749,MIL,33.0,72,46,0.069,25,87,0.287,0.351,0.8983050847457628,0.20300751879699247,0.15789473684210525,1.2592073403848605
1626179,Terry Rozier,1610612748,MIA,30.0,61,41,0.086,34,86,0.395,0.465,0.896421845574388,0.41353383458646614,0.6729323308270677,1.9828880109879217
203076,Anthony Davis,1610612747,LAL,31.0,74,52,0.068,35,84,0.417,0.435,0.8926553672316384,0.18796992481203006,0.518796992481203,1.5994222845248716
1630169,Tyrese Haliburton,1610612754,IND,24.0,68,44,0.081,26,84,0.31,0.375,0.8926553672316384,0.3383458646616541,0.2593984962406015,1.490399728133894
1631099,Keegan Murray,1610612758,SAC,23.0,76,47,0.087,30,83,0.361,0.416,0.8907721280602636,0.43609022556390975,0.41353383458646614,1.7403961882106393
1629640,Keldon Johnson,1610612759,SAS,24.0,68,49,0.097,34,82,0.415,0.482,0.8888888888888888,0.5864661654135338,0.7330827067669173,2.20843776106934
1627749,Dejounte Murray,1610612737,ATL,27.0,77,50,0.056,31,81,0.383,0.488,0.8851224105461394,0.05263157894736842,0.7631578947368421,1.70091188423035
1630202,Payton Pritchard,1610612738,BOS,26.0,80,57,0.133,25,81,0.309,0.37,0.8851224105461394,0.8834586466165414,0.23684210526315788,2.0054231624258385
1631114,Jalen Williams,1610612760,OKC,23.0,70,51,0.081,39,80,0.488,0.563,0.879472693032015,0.3383458646616541,0.9323308270676691,2.150149384761338
202696,Nikola Vucevic,1610612741,CHI,33.0,74,50,0.069,36,80,0.45,0.469,0.879472693032015,0.20300751879699247,0.6992481203007519,1.7817283321297595
1630703,Scoot Henderson,1610612757,POR,20.0,61,41,0.102,25,80,0.313,0.35,0.879472693032015,0.6541353383458647,0.15413533834586465,1.6877433697237443
203924,Jerami Grant,1610612757,POR,30.0,54,40,0.093,31,79,0.392,0.449,0.871939736346516,0.5225563909774437,0.575187969924812,1.9696840972487717
1628374,Lauri Markkanen,1610612762,UTA,26.0,55,39,0.089,27,79,0.342,0.405,0.871939736346516,0.462406015037594,0.37593984962406013,1.7102856010081702
1631110,Jeremy Sochan,1610612759,SAS,20.0,73,44,0.104,24,79,0.304,0.386,0.871939736346516,0.6616541353383458,0.30451127819548873,1.8381051498803505
1628997,Caleb Martin,1610612748,MIA,28.0,63,46,0.144,22,79,0.278,0.323,0.871939736346516,0.924812030075188,0.09398496240601503,1.8907367288277188
1630193,Immanuel Quickley,1610612761,TOR,24.0,67,47,0.09,21,78,0.269,0.308,0.8700564971751412,0.4849624060150376,0.06766917293233082,1.4226880761225098
1630540,Miles McBride,1610612752,NYK,23.0,67,39,0.173,25,77,0.325,0.396,0.8662900188323918,0.981203007518797,0.3458646616541353,2.193357688005324
1626220,Royce O'Neale,1610612756,PHX,30.0,76,53,0.148,24,77,0.312,0.416,0.8662900188323918,0.9398496240601504,0.41353383458646614,2.2196734774790086
1627734,Domantas Sabonis,1610612758,SAC,27.0,81,45,0.072,36,76,0.474,0.487,0.8625235404896422,0.23684210526315788,0.7556390977443609,1.8550047434971608
101108,Chris Paul,1610612744,GSW,38.0,56,43,0.17,22,76,0.289,0.349,0.8625235404896422,0.9736842105263158,0.15037593984962405,1.986583690865582
1630228,Jonathan Kuminga,1610612744,GSW,21.0,72,47,0.091,28,75,0.373,0.42,0.8587570621468926,0.49624060150375937,0.4323308270676692,1.7873284907183211
1630591,Jalen Suggs,1610612753,ORL,22.0,74,46,0.105,25,75,0.333,0.44,0.8587570621468926,0.6766917293233082,0.5488721804511278,2.0843209719213287
201939,Stephen Curry,1610612744,GSW,36.0,74,47,0.051,26,72,0.361,0.438,0.8531073446327684,0.022556390977443608,0.5300751879699248,1.4057389235801367
1641706,Brandon Miller,1610612766,CHA,21.0,73,42,0.068,24,72,0.333,0.41,0.8531073446327684,0.18796992481203006,0.39473684210526316,1.4358141115500618
1641718,Keyonte George,1610612762,UTA,20.0,73,47,0.091,22,72,0.306,0.361,0.8531073446327684,0.49624060150375937,0.20300751879699247,1.55235546493352
1629130,Duncan Robinson,1610612748,MIA,29.0,67,47,0.106,29,71,0.408,0.556,0.847457627118644,0.6879699248120301,0.9210526315789473,2.4564801835096217
1626181,Norman Powell,1610612746,LAC,30.0,75,42,0.095,27,71,0.38,0.507,0.847457627118644,0.5526315789473685,0.8157894736842105,2.2158786797502232
1631093,Jaden Ivey,1610612765,DET,22.0,75,43,0.076,26,71,0.366,0.394,0.847457627118644,0.2819548872180451,0.3308270676691729,1.460239582005862
1627741,Buddy Hield,1610612755,PHI,31.0,83,49,0.084,29,70,0.414,0.493,0.8436911487758946,0.38721804511278196,0.7781954887218046,2.009104682610481
1630170,Devin Vassell,1610612759,SAS,23.0,68,42,0.066,29,70,0.414,0.514,0.8436911487758946,0.16917293233082706,0.8533834586466166,1.866247539753338
1629611,Terance Mann,1610612746,LAC,27.0,73,44,0.147,24,69,0.348,0.406,0.8361581920903954,0.9360902255639098,0.38345864661654133,2.1557070642708465
1641705,Victor Wembanyama,1610612759,SAS,20.0,71,39,0.058,23,69,0.333,0.355,0.8361581920903954,0.07894736842105263,0.17293233082706766,1.0880378913385158
1626156,D'Angelo Russell,1610612747,LAL,28.0,74,43,0.066,19,69,0.275,0.355,0.8361581920903954,0.16917293233082706,0.17293233082706766,1.17826345524829
1629673,Jordan Poole,1610612764,WAS,24.0,78,43,0.058,18,69,0.261,0.348,0.8361581920903954,0.07894736842105263,0.14285714285714285,1.057962703368591
1626162,Kelly Oubre Jr.,1610612755,PHI,28.0,67,36,0.078,26,68,0.382,0.463,0.832391713747646,0.3082706766917293,0.6654135338345865,1.8060759242739617
203992,Bogdan Bogdanovic,1610612737,ATL,31.0,78,42,0.063,18,68,0.265,0.309,0.832391713747646,0.13157894736842105,0.07894736842105263,1.0429180295371197
203078,Bradley Beal,1610612756,PHX,30.0,50,34,0.099,27,67,0.403,0.44,0.8229755178907722,0.6090225563909775,0.5488721804511278,1.9808702547328776
200768,Kyle Lowry,1610612755,PHI,38.0,58,32,0.183,24,67,0.358,0.455,0.8229755178907722,0.9924812030075187,0.6203007518796992,2.4357574727779903
201976,Patrick Beverley,1610612749,MIL,35.0,72,45,0.178,23,67,0.343,0.41,0.8229755178907722,0.9849624060150376,0.39473684210526316,2.202674766011073
203915,Spencer Dinwiddie,1610612747,LAL,31.0,74,37,0.108,21,67,0.313,0.433,0.8229755178907722,0.7218045112781954,0.5112781954887218,2.056058224657689
1630692,Jordan Goodwin,1610612763,MEM,25.0,55,31,0.182,20,67,0.299,0.351,0.8229755178907722,0.9887218045112782,0.15789473684210525,1.9695920592441558
201144,Mike Conley,1610612750,MIN,36.0,75,45,0.104,26,66,0.394,0.5,0.8173258003766478,0.6616541353383458,0.7857142857142857,2.2646942214292793
1631170,Jaime Jaquez Jr.,1610612748,MIA,23.0,73,42,0.097,22,66,0.333,0.394,0.8173258003766478,0.5864661654135338,0.3308270676691729,1.7346190334593545
203501,Tim Hardaway Jr.,1610612742,DAL,32.0,77,43,0.07,14,66,0.212,0.28,0.8173258003766478,0.22556390977443608,0.03759398496240601,1.08048369511349
1629018,Gary Trent Jr.,1610612761,TOR,25.0,69,41,0.081,24,65,0.369,0.485,0.8116760828625236,0.3383458646616541,0.7443609022556391,1.894382849779817
1629684,Grant Williams,1610612766,CHA,25.0,75,45,0.109,23,65,0.354,0.408,0.8116760828625236,0.7368421052631579,0.39097744360902253,1.9394956317347039
1630583,Santi Aldama,1610612763,MEM,23.0,61,42,0.114,17,65,0.262,0.3,0.8116760828625236,0.793233082706767,0.06015037593984962,1.66505954150914
1631097,Bennedict Mathurin,1610612754,IND,21.0,59,40,0.097,24,64,0.375,0.438,0.8060263653483992,0.5864661654135338,0.5300751879699248,1.9225677187318577
1629628,RJ Barrett,1610612761,TOR,23.0,58,36,0.073,23,64,0.359,0.391,0.8060263653483992,0.2518796992481203,0.32706766917293234,1.3849737337694519
1630217,Desmond Bane,1610612763,MEM,25.0,42,34,0.082,21,64,0.328,0.414,0.8060263653483992,0.3533834586466165,0.40601503759398494,1.5654248615890007
202681,Kyrie Irving,1610612742,DAL,32.0,57,36,0.057,27,63,0.429,0.492,0.8022598870056498,0.06015037593984962,0.7706766917293233,1.6330869546748228
1629675,Naz Reid,1610612750,MIN,24.0,80,43,0.075,19,63,0.302,0.341,0.8022598870056498,0.2744360902255639,0.12030075187969924,1.196996729110913
1630166,Deni Avdija,1610612764,WAS,23.0,74,40,0.079,26,62,0.419,0.492,0.7928436911487758,0.31954887218045114,0.7706766917293233,1.8830692550585504
1629639,Tyler Herro,1610612748,MIA,24.0,40,30,0.087,25,62,0.403,0.476,0.7928436911487758,0.43609022556390975,0.7180451127819549,1.9469790294946405
1631096,Chet Holmgren,1610612760,OKC,21.0,81,42,0.066,25,62,0.403,0.46,0.7928436911487758,0.16917293233082706,0.6428571428571429,1.6048737663367458
1629023,P.J. Washington,1610612742,DAL,25.0,72,43,0.077,19,62,0.306,0.355,0.7928436911487758,0.3007518796992481,0.17293233082706766,1.2665279016750917
201566,Russell Westbrook,1610612746,LAC,35.0,68,41,0.094,17,62,0.274,0.355,0.7928436911487758,0.5375939849624061,0.17293233082706766,1.5033700069382496
203937,Kyle Anderson,1610612750,MIN,30.0,78,44,0.143,24,61,0.393,0.402,0.7890772128060264,0.9172932330827067,0.36466165413533835,2.0710321000240715
1631133,Jabari Walker,1610612757,POR,21.0,72,40,0.12,15,61,0.246,0.279,0.7890772128060264,0.8308270676691729,0.03383458646616541,1.6537388669413646
1628384,OG Anunoby,1610612752,NYK,26.0,49,33,0.106,23,60,0.383,0.45,0.783427495291902,0.6879699248120301,0.5864661654135338,2.057863585517466
1627736,Malik Beasley,1610612749,MIL,27.0,78,41,0.084,21,60,0.35,0.425,0.783427495291902,0.38721804511278196,0.462406015037594,1.633051555442278
1630180,Saddiq Bey,1610612737,ATL,25.0,63,38,0.087,17,60,0.283,0.367,0.783427495291902,0.43609022556390975,0.22180451127819548,1.4413222321340071
1629638,Nickeil Alexander-Walker,1610612750,MIN,25.0,81,42,0.11,22,59,0.373,0.458,0.7796610169491526,0.7518796992481203,0.631578947368421,2.163119663565694
202691,Klay Thompson,1610612744,GSW,34.0,75,41,0.055,19,59,0.322,0.373,0.7796610169491526,0.041353383458646614,0.2518796992481203,1.0728940996559195
1629661,Cameron Johnson,1610612751,BKN,28.0,57,36,0.095,17,58,0.293,0.345,0.7777777777777778,0.5526315789473685,0.12781954887218044,1.4582289055973268
1630173,Precious Achiuwa,1610612752,NYK,24.0,73,35,0.123,22,57,0.386,0.439,0.7740112994350282,0.8421052631578947,0.5451127819548872,2.16122934454781
1641713,GG Jackson,1610612763,MEM,19.0,47,29,0.108,16,57,0.281,0.298,0.7740112994350282,0.7218045112781954,0.05639097744360902,1.5522067881568327
1627936,Alex Caruso,1610612741,CHI,30.0,69,36,0.107,28,56,0.5,0.679,0.7664783427495292,0.706766917293233,0.9924812030075187,2.465726463050281
1626171,Bobby Portis,1610612749,MIL,29.0,81,38,0.062,22,56,0.393,0.429,0.7664783427495292,0.11278195488721804,0.48120300751879697,1.3604633051555441
1628960,Grayson Allen,1610612756,PHX,28.0,72,38,0.087,20,56,0.357,0.482,0.7664783427495292,0.43609022556390975,0.7330827067669173,1.9356512750803563
1629022,Lonnie Walker IV,1610612751,BKN,25.0,57,33,0.117,16,56,0.286,0.348,0.7664783427495292,0.8120300751879699,0.14285714285714285,1.7213655607946419
203994,Jusuf Nurkic,1610612756,PHX,29.0,73,31,0.09,15,55,0.273,0.282,0.7645951035781544,0.4849624060150376,0.041353383458646614,1.2909108930518385
1626167,Myles Turner,1610612754,IND,28.0,76,39,0.061,28,54,0.519,0.565,0.7551789077212806,0.10526315789473684,0.9360902255639098,1.7965322911799273
203084,Harrison Barnes,1610612758,SAC,31.0,81,35,0.076,23,54,0.426,0.528,0.7551789077212806,0.2819548872180451,0.8909774436090225,1.9281112385483483
1629008,Michael Porter Jr.,1610612743,DEN,25.0,78,37,0.052,23,54,0.426,0.519,0.7551789077212806,0.03007518796992481,0.8721804511278195,1.657434546819025
1630230,Naji Marshall,1610612740,NOP,26.0,65,31,0.148,20,54,0.37,0.454,0.7551789077212806,0.9398496240601504,0.6127819548872181,2.3078104866686493
1630625,Dalano Banton,1610612757,POR,24.0,52,27,0.118,13,54,0.241,0.269,0.7551789077212806,0.8195488721804511,0.02631578947368421,1.6010435693754161
204001,Kristaps Porzingis,1610612738,BOS,28.0,57,29,0.069,23,52,0.442,0.51,0.7495291902071564,0.20300751879699247,0.8233082706766918,1.7758449796808407
